ENCODED_MCT,snapshot_date,TRADE_AREA,is_chain,has_delivery,MCT_OPE_MONTHS,MCT_OPE_MONTHS_QUANTILE,MCT_OPE_MONTHS_NORMALIZED,MCT_OPE_MS_GRADE,RC_UNIT_PRICE_RATIO,RC_M1_SAA,RC_M1_TO_UE_CT,RC_M1_AV_NP_AT,M12_SME_RY_SAA_PCE_RT,M12_SME_BZN_SAA_PCE_RT,M12_SME_RY_ME_MCT_RAT,M12_SME_BZN_ME_MCT_RAT,DLV_SAA_RAT,DLV_SAA_RAT_LOG,M12_MAL_1020_RAT,M12_MAL_30_RAT,M12_MAL_40_RAT,M12_MAL_50_RAT,M12_MAL_60_RAT,M12_FME_1020_RAT,M12_FME_30_RAT,M12_FME_40_RAT,M12_FME_50_RAT,M12_FME_60_RAT,MCT_UE_CLN_REU_RAT,MCT_UE_CLN_NEW_RAT,RC_M1_SHC_RSD_UE_CLN_RAT,RC_M1_SHC_WP_UE_CLN_RAT,RC_M1_SHC_FLP_UE_CLN_RAT,INDUSTRY_SALES_RATIO_NORM,INDUSTRY_STORES_RATIO_NORM,LOYALTY_SCORE,LOYALTY_SCORE_DELTA,AGE30_GENDER_DIFF,cluster
9218EE2A57,2025-10-04,미분류,0,1,34,3,0.1096345514950166,0.583,2,0.417,0.083,0.917,21.8,27.8,17.1,8.6,8.6,2.261763098,9.865865865865866,12.684684684684685,7.047047047047046,8.544544544544545,5.857857857857858,12.556556556556556,16.144144144144143,8.96896896896897,10.874874874874877,7.455455455455455,43.21,4.69,47.34734734734734,12.21221221221221,40.44044044044044,49.99249127833099,50.00346556384723,38.52,38.52,-3.456,3
50BB2EA330,2025-10-04,한양대,1,1,94,5,0.3089700996677741,0.417,2,0.25,0.083,0.917,2.8,20.3,18.0,11.3,7.6,2.151762203,25.899999999999995,12.7946,5.853399999999999,5.490799999999999,1.7612,24.1,11.905399999999998,5.446599999999999,5.1092,1.6387999999999996,31.05,5.16,40.6,6.0,53.4,88.52205253794793,97.93221357114804,25.89,25.89,0.8892,0
61A3133822,2025-10-04,뚝섬,0,0,54,4,0.1760797342192691,0.417,2,0.917,0.917,0.917,84.7,67.8,18.0,9.0,0.0,0.0,13.509279091031532,13.4281293100166,6.933532760246155,5.047198144693243,1.9618016387936872,18.986264206184096,21.10144347730221,9.280625376127531,7.212215201490702,2.5395107941142547,27.035,7.28,25.111856823266216,12.08053691275168,62.807606263982095,0.0,0.0,0.0,19.755,0.0,3
FF3C3A8704,2025-10-04,미분류,0,1,18,2,0.0564784053156146,0.75,1,0.583,0.417,0.75,21.8,27.8,17.1,8.6,82.8,4.428433007,16.661800000000003,12.661500000000004,3.1195000000000004,3.486500000000001,0.7707000000000002,28.738200000000003,21.838500000000003,5.3805000000000005,6.0135000000000005,1.3293,27.91,5.98,51.4,16.2,32.4,49.99249127833099,50.00346556384723,21.93,21.93,-9.177,1
B2781768EE,2025-10-04,성수,0,0,81,4,0.26578073089701,0.417,4,0.583,0.25,0.75,23.2,30.9,18.0,7.8,0.0,0.0,11.064864864864866,22.55735735735736,11.652852852852853,5.879879879879879,2.2450450450450448,9.655855855855856,19.68488488488488,10.168968968968969,5.131131131131131,1.959159159159159,45.39,4.76,11.0,53.8,35.2,35.63870341704595,72.99228334450015,40.63,40.63,2.8696,0
B95A7665A4,2025-10-04,한양대,0,1,37,3,0.1196013289036544,0.583,1,0.417,0.25,0.75,9.4,37.3,18.0,11.3,10.5,2.442347035,18.8762,4.7538,1.7792,2.0572,0.3336,49.0238,12.3462,4.6208,5.3428,0.8664,26.43,7.49,26.2,9.4,64.4,79.60400157105562,74.63322782616731,18.94,18.94,-7.5924,0
9DE30019C9,2025-10-04,미분류,1,1,24,2,0.0764119601328903,0.583,4,0.417,0.083,0.75,21.8,27.8,17.1,8.6,8.8,2.282382386,15.5295,27.1005,10.6575,5.724599999999999,1.8879,9.970499999999998,17.3995,6.842499999999999,3.6753999999999993,1.2120999999999995,42.58,5.86,7.9,38.5,53.6,49.99249127833099,50.00346556384723,36.72,36.72,9.701,0
FE826E7775,2025-10-04,금남시장,1,0,43,3,0.1395348837209302,0.583,2,0.417,0.083,0.75,6.1,11.5,18.0,8.9,0.0,0.0,8.1588,15.010099999999998,12.3951,9.414,7.322000000000001,7.4412,13.6899,11.3049,8.586,6.678000000000001,35.42,5.5,57.0,7.0,36.0,80.88857057043181,91.09696647644571,29.92,29.92,1.3202,3
831DD29FAB,2025-10-04,한양대,0,1,51,3,0.1661129568106312,0.583,3,0.583,0.25,0.75,21.3,50.5,18.0,11.3,3.0,1.386294361,20.992192192192192,6.044444444444445,3.5939939939939944,7.351351351351353,2.818018018018018,30.45925925925926,8.77037037037037,5.214814814814815,10.666666666666668,4.0888888888888895,33.13,6.77,43.8,11.4,44.8,37.15719797611071,64.156828315967,26.36,26.360000000000003,-2.7232,0
8177FA0EF1,2025-10-04,뚝섬,0,0,99,5,0.3255813953488372,0.417,1,0.583,0.25,0.75,24.5,34.1,18.0,9.0,0.0,0.0,19.9092,20.7564,8.3308,11.2254,10.3782,8.2908,8.6436,3.4692,4.6746,4.3218,31.73,4.8,16.7,23.3,60.0,37.21322459164106,64.99491717302405,26.93,26.93,12.1128,3
