ENCODED_MCT,snapshot_date,sales_grade,visits_grade,unit_price_grade,revisit_ratio,new_customer_ratio,resident_ratio,worker_ratio,floating_ratio,delivery_ratio,industry_sales_change,trade_sales_change
003AC99735,2023-01-01,0.417,0.083,0.75,36.29,5.12,31.0,12.3,56.7,3.4,4.3,10.0
003AC99735,2023-02-01,0.417,0.083,0.75,35.9,5.26,29.1,11.9,59.0,3.7,4.4,10.4
003AC99735,2023-03-01,0.25,0.083,0.917,36.14,7.6,29.0,12.3,58.7,1.2,4.5,10.3
003AC99735,2023-04-01,0.25,0.083,0.75,36.33,7.28,32.3,11.7,56.0,1.0,4.3,10.0
003AC99735,2023-05-01,0.25,0.083,0.75,36.27,8.04,30.0,11.7,58.3,3.2,4.3,9.6
003AC99735,2023-06-01,0.25,0.083,0.75,36.41,7.03,34.36563436563437,12.187812187812188,53.446553446553445,0.9,4.3,9.5
003AC99735,2023-07-01,0.25,0.083,0.75,36.3,6.88,34.4,12.1,53.5,1.3,4.3,9.9
003AC99735,2023-08-01,0.25,0.083,0.75,36.38,6.48,32.5,10.1,57.4,0.5,4.4,10.1
003AC99735,2023-09-01,0.25,0.083,0.75,35.94,7.29,34.23423423423424,10.81081081081081,54.95495495495495,0.7,4.4,10.5
003AC99735,2023-10-01,0.25,0.083,0.75,36.45,7.02,32.2,11.4,56.4,0.7,4.4,10.1
003AC99735,2023-11-01,0.25,0.083,0.917,36.53,5.61,34.7,11.9,53.4,1.7,4.2,10.0
003AC99735,2023-12-01,0.417,0.083,0.75,36.51,5.22,31.7,10.5,57.8,1.6,4.3,10.3
003AC99735,2024-01-01,0.417,0.083,0.75,36.39,4.83,35.86413586413587,11.88811188811189,52.247752247752246,1.4,4.2,10.3
003AC99735,2024-02-01,0.417,0.083,0.75,36.37,4.97,37.362637362637365,10.88911088911089,51.74825174825175,1.3,4.2,10.2
003AC99735,2024-03-01,0.25,0.083,0.917,36.38,7.02,32.0,11.5,56.5,2.1,4.1,10.2
003AC99735,2024-04-01,0.25,0.083,0.917,36.71,9.11,34.3,8.9,56.8,1.3,4.1,10.0
003AC99735,2024-05-01,0.25,0.083,0.917,36.6,7.97,33.23323323323324,10.91091091091091,55.85585585585585,0.0,4.0,10.0
003AC99735,2024-06-01,0.25,0.083,0.917,36.84,8.61,35.464535464535466,10.58941058941059,53.94605394605395,1.4,3.9,9.9
003AC99735,2024-07-01,0.25,0.083,0.917,37.16,6.67,35.7,9.9,54.4,2.3,3.8,9.9
003AC99735,2024-08-01,0.25,0.083,0.917,36.76,6.17,34.7,9.6,55.7,1.1,3.8,9.9
003AC99735,2024-09-01,0.25,0.083,0.917,35.99,8.2,33.6,9.5,56.9,0.4,3.7,9.6
003AC99735,2024-10-01,0.25,0.083,0.75,36.45,7.02,37.3,10.5,52.2,1.5,3.6,9.7
003AC99735,2024-11-01,0.25,0.083,0.917,36.7,5.0,34.7,11.8,53.5,1.2,3.7,9.6
003AC99735,2024-12-01,0.417,0.083,0.917,36.99,4.7,37.13713713713714,9.80980980980981,53.05305305305305,2.1,3.2,9.7
00F54829E1,2023-01-01,0.583,0.417,0.75,28.22,8.84,32.4,8.3,59.3,0.0,21.8,27.8
00F54829E1,2023-02-01,0.583,0.417,0.75,28.47,7.73,34.03403403403404,8.208208208208207,57.75775775775776,0.0,21.8,27.8
00F54829E1,2023-03-01,0.583,0.25,0.75,28.68,9.69,39.53953953953954,4.804804804804804,55.65565565565566,0.0,21.8,27.8
00F54829E1,2023-04-01,0.583,0.25,0.75,28.45,8.62,37.6,7.2,55.2,0.0,21.8,27.8
00F54829E1,2023-05-01,0.583,0.25,0.75,28.49,8.92,36.0,7.2,56.8,0.0,21.8,27.8
00F54829E1,2023-06-01,0.417,0.25,0.75,30.09,9.44,35.4,7.5,57.1,0.0,21.8,27.8
00F54829E1,2023-07-01,0.417,0.25,0.75,30.8,7.8,37.6,7.0,55.4,0.0,21.8,27.8
00F54829E1,2023-08-01,0.417,0.25,0.75,30.92,7.8,38.8,7.9,53.3,0.0,21.8,27.8
